eval_qs_difference,eval mean 100 episode reward,eval_time_elapsed,eval_ep_rewmean,eval_abs_qs_difference,total timesteps,eval_eplenmean,eval_discount_q,eval_qs,qs_mean,qs_difference,current_lr,env_time,act_time,fps,eplenmean,ep_rewmean,qs_abs_difference,mean 100 episode reward,update_time,time_elapsed,n_updates,episodes,discount_q,train_time,q_grad_norm,qfs_loss
,,,,,200000,,,,16.106773,3.6034373453194437,0.0003,285,151,16,1000.0,144.47810812,3.6034373453194437,144.5,7407,12326,350200,200,2.6410545433207098e-12,3932,0.6096352,0.002994844
3.2749396404975712,154.4,23,160.0729031818182,3.283261,200001,1000.0,32.89940132131181,16.025187,,,,,,,,,,,,,,,,,,
,,,,,204000,,,,16.13734,4.413801243302797,0.0003,291,155,16,1000.0,147.76842475,4.413801243302797,147.8,7604,12645,358200,204,2.763282228714563e-12,4021,0.6235245,0.0027659133
,,,,,208000,,,,16.226551,3.5239355519482856,0.0003,296,158,16,1000.0,150.91550455,3.5239355519482856,150.9,7803,12944,366200,208,2.48907821020379e-12,4111,0.5446724,0.0022558353
3.889064156749356,156.1,23,150.01564499999998,3.8932912,210001,1000.0,33.116579841080195,15.612088,,,,,,,,,,,,,,,,,,
,,,,,212000,,,,16.378765,4.423141910489412,0.0003,302,161,15,1000.0,153.22178704,4.423141910489412,153.2,7999,13265,374200,212,2.4907632851337045e-12,4202,0.49773526,0.0023194754
,,,,,216000,,,,16.45472,3.646899500373296,0.0003,307,164,15,1000.0,153.87848058,3.646899500373296,153.9,8198,13563,382200,216,2.4443770093171746e-12,4291,0.6425086,0.0026295471
,,,,,220000,,,,16.108952,3.841457015524362,0.0003,313,168,15,1000.0,155.00485338000001,3.841457015524362,155.0,8395,13862,390200,220,2.5669149052640534e-12,4383,0.5371355,0.0020809225
3.9299320504045956,156.6,23,150.01449618181815,3.9349394,220001,1000.0,32.78614435442888,15.685554,,,,,,,,,,,,,,,,,,
,,,,,224000,,,,16.023664,3.6259572105581084,0.0003,318,171,15,1000.0,155.62961335999998,3.6259572105581084,155.6,8597,14190,398200,224,2.5781164751705356e-12,4474,0.50438374,0.002196133
,,,,,228000,,,,15.931875,3.482417117205174,0.0003,324,174,15,1000.0,156.01536008000002,3.482417117205174,156.0,8794,14485,406200,228,2.652832950945195e-12,4562,0.59207445,0.0022897117
3.451521085341732,156.1,24,156.0611141818182,3.4562826,230001,1000.0,33.205931436581324,15.770246,,,,,,,,,,,,,,,,,,
,,,,,232000,,,,15.810047,3.7034623158276045,0.0003,330,178,15,1000.0,156.04541473,3.7034623158276045,156.0,8993,14812,414200,232,2.4854616863601495e-12,4654,0.49436033,0.0020396255
,,,,,236000,,,,15.793932,3.5606875560237627,0.0003,335,181,15,1000.0,155.7527953,3.5606875560237627,155.8,9189,15105,422200,236,2.5490137529575197e-12,4742,0.5490849,0.0022419337
,,,,,240000,,,,15.883414,3.5700117822623056,0.0003,341,184,15,1000.0,155.76316601000002,3.5700117822623056,155.8,9388,15406,430200,240,2.6432958551864587e-12,4833,0.49107555,0.0019151211
3.3448037295249233,155.8,24,157.9752857272727,3.3466558,240001,1000.0,33.31563441535083,15.844085,,,,,,,,,,,,,,,,,,
,,,,,244000,,,,15.906651,3.571183343275019,0.0003,346,188,15,1000.0,155.66022604,3.571183343275019,155.7,9588,15731,438200,244,2.5452686434525804e-12,4923,0.5763428,0.0023485865
,,,,,248000,,,,15.745837,3.6109646840212983,0.0003,352,191,15,1000.0,155.76973043,3.6109646840212983,155.8,9784,16025,446200,248,2.604107434599328e-12,5011,0.4851101,0.0017368742
3.340580818346019,155.2,23,154.9142083636364,3.344329,250001,1000.0,33.32794476982787,15.532535,,,,,,,,,,,,,,,,,,
,,,,,252000,,,,15.75673,3.604225544873536,0.0003,357,194,15,1000.0,155.68135808,3.604225544873536,155.7,9983,16351,454200,252,2.6262288094712216e-12,5103,0.5331654,0.001853977
,,,,,256000,,,,15.862252,3.7607997828971507,0.0003,363,198,15,1000.0,155.38062474999998,3.7607997828971507,155.4,10182,16649,462200,256,2.698926368463467e-12,5193,0.4218077,0.0015339438
,,,,,260000,,,,15.579531,3.6058336776423303,0.0003,369,201,15,1000.0,155.32665669,3.6058336776423303,155.3,10382,16952,470200,260,2.5720970307393905e-12,5285,0.46525317,0.0016014822
3.3741868871189227,154.9,23,151.72854918181815,3.3758123,260001,1000.0,32.781727079338026,15.301651,,,,,,,,,,,,,,,,,,
,,,,,264000,,,,15.945801,4.196390156033189,0.0003,374,204,15,1000.0,155.14941076000002,4.196390156033189,155.1,10584,17279,478200,264,2.557709573888523e-12,5375,0.4605338,0.001590217
,,,,,268000,,,,15.607221,4.310201690744844,0.0003,380,207,15,1000.0,155.06665783000003,4.310201690744844,155.1,10780,17574,486200,268,2.63275686674042e-12,5464,0.35931042,0.0012233731
3.336734225616624,155.1,24,154.9465733636364,3.3392708,270001,1000.0,33.03491526338828,15.560934,,,,,,,,,,,,,,,,,,
,,,,,272000,,,,15.774519,3.537916117732815,0.0003,386,211,15,1000.0,155.03619547,3.537916117732815,155.0,10976,17895,494200,272,2.6348967287184286e-12,5554,0.429362,0.001421572
,,,,,276000,,,,15.933935,3.743525431591305,0.0003,391,214,15,1000.0,154.83759607,3.743525431591305,154.8,11169,18185,502200,276,2.5847555030815396e-12,5640,0.4071102,0.0014314591
,,,,,280000,,,,15.8060665,3.5382785705239477,0.0003,397,218,15,1000.0,154.59235038999998,3.5382785705239477,154.6,11362,18478,510200,280,2.6530410427026982e-12,5730,0.37555832,0.0015268974
3.449030234693741,154.6,22,154.85406572727274,3.4504259,280001,1000.0,33.324020108165584,15.63536,,,,,,,,,,,,,,,,,,
,,,,,284000,,,,15.771285,3.574512874108192,0.0003,402,221,15,1000.0,154.49533897999999,3.574512874108192,154.5,11557,18794,518200,284,2.644379752553462e-12,5818,0.36024937,0.0012853588
,,,,,288000,,,,15.63465,3.6073837632332015,0.0003,408,224,15,1000.0,154.2936205,3.6073837632332015,154.3,11747,19085,526200,288,2.6622296492854026e-12,5908,0.4645226,0.0014356524
3.3948412660659057,154.2,23,156.57234454545457,3.3961196,290001,1000.0,33.31465662912651,15.753924,,,,,,,,,,,,,,,,,,
,,,,,292000,,,,15.891611,3.5783117155036264,0.0003,413,228,15,1000.0,154.23549512000002,3.5783117155036264,154.2,11945,19409,534200,292,2.66373998738799e-12,6000,0.4375676,0.001396819
,,,,,296000,,,,15.649379,3.5643999778286064,0.0003,419,231,15,1000.0,154.03277187,3.5643999778286064,154.0,12136,19695,542200,296,2.689349934226715e-12,6085,0.3007297,0.0010781237
,,,,,300000,,,,16.36987,3.937956500016736,0.0003,425,234,15,1000.0,153.78732979,3.937956500016736,153.8,12325,19980,550200,300,2.4427148869424728e-12,6170,0.40185016,0.0013957467
3.9553302448169703,154.0,23,150.08589272727275,3.9567251,300001,1000.0,33.44552691410259,15.652813,,,,,,,,,,,,,,,,,,
,,,,,304000,,,,15.890261,3.509011895884532,0.0003,430,238,14,1000.0,153.79740832,3.509011895884532,153.8,12515,20295,558200,304,2.693765121002159e-12,6260,0.37099835,0.0013331892
,,,,,308000,,,,15.913076,3.6154813975186,0.0003,436,241,14,1000.0,153.68174999000001,3.6154813975186,153.7,12715,20595,566200,308,2.5574128921452405e-12,6350,0.3333871,0.0009958822
3.2578249304430242,155.1,23,160.36321854545452,3.260471,310001,1000.0,33.67045154409302,15.9607725,,,,,,,,,,,,,,,,,,
,,,,,312000,,,,16.03769,3.5409551202107523,0.0003,442,244,14,1000.0,153.80441775,3.5409551202107523,153.8,12912,20917,574200,312,2.5964786314510086e-12,6440,0.33241016,0.0009749846
,,,,,316000,,,,15.855616,3.6058859688500644,0.0003,447,248,14,1000.0,153.89481354000003,3.6058859688500644,153.9,13104,21206,582200,316,2.756753204397594e-12,6527,0.3169643,0.0009546978
,,,,,320000,,,,15.967382,4.004712245269324,0.0003,453,251,14,1000.0,153.93185415,4.004712245269324,153.9,13292,21489,590200,320,2.6117558158046336e-12,6611,0.308597,0.0009327988
3.2875741951639053,155.6,24,159.156447,3.289857,320001,1000.0,33.205903624720754,15.915835,,,,,,,,,,,,,,,,,,
,,,,,324000,,,,16.05222,3.512982366745648,0.0003,459,255,14,1000.0,153.93899307,3.512982366745648,153.9,13488,21809,598200,324,2.7552795644483845e-12,6700,0.37138385,0.0011444966
,,,,,328000,,,,16.133814,3.653881831325432,0.0003,465,258,14,1000.0,153.91962191000002,3.653881831325432,153.9,13689,22113,606200,328,2.609167415928665e-12,6791,0.355169,0.0010944526
3.4262669404969532,155.8,24,158.983787,3.4277265,330001,1000.0,33.05690008784111,16.052013,,,,,,,,,,,,,,,,,,
,,,,,332000,,,,16.341696,3.7566285620691544,0.0003,471,262,14,1000.0,154.03958391,3.7566285620691544,154.0,13883,22432,614200,332,2.6426713874213816e-12,6880,0.43579856,0.0012848186
,,,,,336000,,,,16.079664,4.170235108793712,0.0003,476,265,14,1000.0,154.13351763,4.170235108793712,154.1,14087,22737,622200,336,2.6504977966124082e-12,6971,0.3570286,0.0011102841
,,,,,340000,,,,15.942432,3.608496905704196,0.0003,482,268,14,1000.0,154.28235433,3.608496905704196,154.3,14285,23037,630200,340,2.798294052339809e-12,7062,0.31377757,0.0010608962
4.02872739112664,155.2,24,150.27705954545456,4.0300455,340001,1000.0,32.932675664315276,15.7961,,,,,,,,,,,,,,,,,,
,,,,,344000,,,,15.807962,3.641441667445374,0.0003,488,272,14,1000.0,154.45171763,3.641441667445374,154.5,14479,23354,638200,344,2.8065634519820525e-12,7149,0.33149964,0.0009148363
,,,,,348000,,,,16.18184,3.550364009571032,0.0003,493,275,14,1000.0,154.48259423,3.550364009571032,154.5,14667,23638,646200,348,2.5613939685988416e-12,7235,0.35990685,0.0011562326
3.4895227941105462,155.8,24,158.08216836363636,3.4912298,350001,1000.0,32.82920040035917,16.04765,,,,,,,,,,,,,,,,,,
,,,,,352000,,,,16.199493,4.767601704946975,0.0003,499,279,14,1000.0,154.51035695000004,4.767601704946975,154.5,14863,23959,654200,352,2.5963478692325453e-12,7324,0.38923213,0.001188584
,,,,,356000,,,,16.042091,3.7305814614280006,0.0003,505,282,14,1000.0,154.49656411,3.7305814614280006,154.5,15061,24257,662200,356,2.6024276085698784e-12,7414,0.35752052,0.0010951606
,,,,,360000,,,,16.218304,3.7558219544011218,0.0003,511,285,14,1000.0,154.64018927000004,3.7558219544011218,154.6,15262,24560,670200,360,2.5745258620284957e-12,7505,0.34790626,0.0012125007
3.375480743083676,156.5,23,160.99524781818184,3.3773577,360001,1000.0,33.77656549432607,16.131126,,,,,,,,,,,,,,,,,,
,,,,,364000,,,,16.095476,3.6990419043655267,0.0003,516,289,14,1000.0,154.73559117000002,3.6990419043655267,154.7,15456,24879,678200,364,2.5638251173207198e-12,7595,0.32652482,0.00086998614
,,,,,368000,,,,16.188684,3.97254012656562,0.0003,522,292,14,1000.0,154.72120212,3.97254012656562,154.7,15645,25164,686200,368,2.6766325161575414e-12,7681,0.29706126,0.0008749297
3.366248380037069,156.8,23,156.89214981818185,3.3679962,370001,1000.0,33.3030698224797,15.758459,,,,,,,,,,,,,,,,,,
,,,,,372000,,,,16.170944,4.884627044379913,0.0003,528,295,14,1000.0,154.53528590999997,4.884627044379913,154.5,15831,25472,694200,372,2.5239412090521546e-12,7770,0.32795802,0.0011553608
,,,,,376000,,,,16.023207,3.6264057811462496,0.0003,533,299,14,1000.0,154.75489183999997,3.6264057811462496,154.8,16014,25757,702200,376,2.7823382902773206e-12,7860,0.35675988,0.0011116299
,,,,,380000,,,,15.716756,3.5711822254812344,0.0003,539,302,14,1000.0,154.80521291,3.5711822254812344,154.8,16204,26048,710200,380,2.6334772195005024e-12,7951,0.3273143,0.0010026981
3.288897881805407,156.8,23,156.04352500000002,3.2909226,380001,1000.0,32.81431481325317,15.644634,,,,,,,,,,,,,,,,,,
,,,,,384000,,,,16.017424,4.7076957720143,0.0003,545,306,14,1000.0,154.59728697999998,4.7076957720143,154.6,16401,26372,718200,384,2.5831171355800592e-12,8043,0.32422614,0.0008463328
,,,,,388000,,,,15.963869,3.6062674933447822,0.0003,550,309,14,1000.0,154.55900872,3.6062674933447822,154.6,16593,26662,726200,388,2.623631908031646e-12,8130,0.28700906,0.0009962019
3.9065617106228903,156.8,22,150.85318654545455,3.9069521,390001,1000.0,33.28759339100123,15.696408,,,,,,,,,,,,,,,,,,
,,,,,392000,,,,15.571582,4.474923066639912,0.0003,556,312,14,1000.0,154.41916963000003,4.474923066639912,154.4,16787,26979,734200,392,2.702553983467012e-12,8220,0.31402075,0.0009926895
,,,,,396000,,,,15.931798,4.084572198614058,0.0003,562,316,14,1000.0,154.5559875,4.084572198614058,154.6,16981,27271,742200,396,2.6734321672310016e-12,8307,0.27075785,0.0008553293
,,,,,400000,,,,15.933172,4.272647037079782,0.0003,567,319,14,1000.0,154.64832788,4.272647037079782,154.6,17178,27570,750200,400,2.5021814228284632e-12,8399,0.3140893,0.00086602324
3.292827926220454,156.7,23,158.7464521818182,3.295292,400001,1000.0,32.826037977598055,15.917695,,,,,,,,,,,,,,,,,,
